position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,sentinel_codes,min,max
1,studyno,archive study number,int64,1015,0,1,"{""6288"": ""GESIS STUDY ID ZA6288""}",,,6288.0,6288.0
2,doi,digital object identifier,str,1015,0,1,,"[""doi:10.4232/1.12410""]",,,
3,version,gesis archive version & date,str,1015,0,1,,"[""1.0.0 (2016-01-05)""]",,,
4,edition,dataset edition,int64,1015,0,1,"{""1"": ""Archive release""}",,,1.0,1.0
5,survey,survey identification,int64,1015,0,1,"{""1"": ""EU Neighbourhood Barometer Wave 1 (July-August 2012)""}",,,1.0,1.0
6,caseid,tns case id,int64,1015,0,1015,,,,1.0,1015.0
7,uniqid,unique respondent id (caseid by tns country code),int64,1015,0,1015,,,,14000001.0,14001015.0
8,serialid,serial case id (appointed by the archive),int64,1015,0,1015,,,,13185.0,14199.0
9,tnscntry,original tns country identification,int64,1015,0,1,"{""1"": ""Algeria"", ""2"": ""Armenia"", ""3"": ""Azerbaijan"", ""4"": ""Egypt"", ""5"": ""Georgia"", ""6"": ""Israel"", ""7"": ""Jordan"", ""8"": ""Lebanon"", ""9"": ""Moldova"", ""10"": ""Morocco"", ""11"": ""Palestinian Territories"", ""12"": ""Russia"", ""13"": ""Belarus"", ""14"": ""Tunisia"", ""15"": ""Ukraine"", ""16"": ""Libya""}",,,14.0,14.0
10,country,country id (series standard),int64,1015,0,1,"{""1"": ""Morocco"", ""2"": ""Algeria"", ""3"": ""Tunisia"", ""4"": ""Libya"", ""5"": ""Egypt"", ""6"": ""Israel"", ""7"": ""Jordan"", ""8"": ""Lebanon"", ""9"": ""Palestinian Territories"", ""10"": ""Syria (NOT SURVEYED)"", ""11"": ""Armenia"", ""12"": ""Azerbaijan"", ""13"": ""Georgia"", ""14"": ""Moldova"", ""15"": ""Ukraine"", ""16"": ""Belarus"", ""17"": ""Russia""}",,,3.0,3.0
11,isocntry,country code - iso 3166,str,1015,0,1,,"[""TN""]",,,
12,w1,demographic country weight (redressment),float64,1015,0,163,,,,0.762935996055603,2.06771993637085
13,w2,population size weight - south,float64,1015,0,1,,,,1.37362146377563,1.37362146377563
14,w3,population size weight - east (except russia),float64,1015,0,1,,,,0.0,0.0
15,w4,population size weight - total (except russia),float64,1015,0,1,,,,1.19010961055756,1.19010961055756
16,w5,population size weight - maghreb,float64,1015,0,1,,,,1.492448,1.492448
17,w6,population size weight - mashrek (except egypt),float64,1015,0,1,,,,0.0,0.0
18,aa1,life satisfaction,int64,1015,0,4,"{""1"": ""Very satisfied"", ""2"": ""Fairly satisfied"", ""3"": ""Not very satisfied"", ""4"": ""Not at all satisfied"", ""5"": ""Don't know (SPONTANEOUS)""}",,,1.0,4.0
19,aa2_1,political discussion: international matters,int64,1015,0,4,"{""1"": ""Frequently"", ""2"": ""Occasionally"", ""3"": ""Never"", ""4"": ""Don t know (SPONTANEOUS)""}",,,1.0,4.0
20,aa2_2,political discussion: national matters,int64,1015,0,4,"{""1"": ""Frequently"", ""2"": ""Occasionally"", ""3"": ""Never"", ""4"": ""Don t know (SPONTANEOUS)""}",,,1.0,4.0
21,aa2_3,political discussion: local matters,int64,1015,0,4,"{""1"": ""Frequently"", ""2"": ""Occasionally"", ""3"": ""Never"", ""4"": ""Don t know (SPONTANEOUS)""}",,,1.0,4.0
22,aa3,persuade friends of own strong opinion,int64,1015,0,5,"{""1"": ""Often"", ""2"": ""From time to time"", ""3"": ""Rarely"", ""4"": ""Never"", ""5"": ""Don t know (SPONTANEOUS)""}",,,1.0,5.0
23,polintr,political interest index,int64,1015,0,4,"{""1"": ""Strong (see study description remarks)"", ""2"": ""Average (see study description remarks)"", ""3"": ""Low (see study description remarks)"", ""4"": ""Not at all (see study description remarks)""}",,,1.0,4.0
24,opls,opinion leadership index,int64,1015,0,4,"{""1"": ""++ high (1 for aa3 and 1 or 2 for polintr; or 2 for aa3 and 1 for polintr)"", ""2"": ""+ (1 for aa3 and 3 or 4 for polintr; or 2 for aa3 and 2 to 4 for polintr; or 3 for aa3 and 1 for polintr)"", ""3"": ""- (3 for aa3 and 2 to 4 for polintr; or 4 for aa3 and 1 for polintr)"", ""4"": ""- - low (4 for aa3 and 2 to 4 for polintr; or 5 for aa3 and 1 to 4 for polintr)""}",,,1.0,4.0
25,aa4_1,assessment: economic situation in country,int64,1015,0,5,"{""1"": ""Very good"", ""2"": ""Rather good"", ""3"": ""Rather bad"", ""4"": ""Very bad"", ""5"": ""Don't know (SPONTANEOUS)""}",,,1.0,5.0
26,aa4_2,assessment: situation of the economy in the world,int64,1015,0,5,"{""1"": ""Very good"", ""2"": ""Rather good"", ""3"": ""Rather bad"", ""4"": ""Very bad"", ""5"": ""Don't know (SPONTANEOUS)""}",,,1.0,5.0
27,aa4_3,assessment: personal job situation,int64,1015,0,5,"{""1"": ""Very good"", ""2"": ""Rather good"", ""3"": ""Rather bad"", ""4"": ""Very bad"", ""5"": ""Don't know (SPONTANEOUS)""}",,,1.0,5.0
28,aa4_4,assessment:  financial situation of your household,int64,1015,0,5,"{""1"": ""Very good"", ""2"": ""Rather good"", ""3"": ""Rather bad"", ""4"": ""Very bad"", ""5"": ""Don't know (SPONTANEOUS)""}",,,1.0,5.0
29,aa5_1,expectations:  economic situation in country,int64,1015,0,4,"{""1"": ""Better"", ""2"": ""Worse"", ""3"": ""Same"", ""4"": ""Don t know (SPONTANEOUS)""}",,,1.0,4.0
30,aa5_2,expectations:  your personal job situation,int64,1015,0,4,"{""1"": ""Better"", ""2"": ""Worse"", ""3"": ""Same"", ""4"": ""Don t know (SPONTANEOUS)""}",,,1.0,4.0
31,aa5_3,expectations:  financial situation of your household,int64,1015,0,4,"{""1"": ""Better"", ""2"": ""Worse"", ""3"": ""Same"", ""4"": ""Don t know (SPONTANEOUS)""}",,,1.0,4.0
32,aa5_4,expectations:  employment situation in country,int64,1015,0,4,"{""1"": ""Better"", ""2"": ""Worse"", ""3"": ""Same"", ""4"": ""Don t know (SPONTANEOUS)""}",,,1.0,4.0
33,aa5_5,expectations:  your life in general,int64,1015,0,4,"{""1"": ""Better"", ""2"": ""Worse"", ""3"": ""Same"", ""4"": ""Don t know (SPONTANEOUS)""}",,,1.0,4.0
34,aa6a,important country issues - firstly,int64,1015,0,20,"{""1"": ""Crime"", ""2"": ""Freedom of speech"", ""3"": ""Economic situation"", ""4"": ""Rising prices/ inflation"", ""5"": ""Taxation"", ""6"": ""Unemployment"", ""7"": ""Terrorism"", ""8"": ""Corruption"", ""9"": ""Defence/ Foreign affairs"", ""10"": ""Rule of law, transparency"", ""11"": ""Housing"", ""12"": ""Migration"", ""13"": ""Refugees and Internal Displaced People"", ""14"": ""Healthcare system"", ""15"": ""The educational system"", ""16"": ""Pensions"", ""17"": ""The environment"", ""18"": ""Energy"", ""19"": ""Mountainous Garabagh (SPONTANEOUS)"", ""20"": ""Transnistrian conflict (SPONTANEOUS)"", ""21"": ""Other (SPONTANEOUS)"", ""22"": ""None (SPONTANEOUS)"", ""23"": ""Don t know (SPONTANEOUS)""}",,,1.0,23.0
35,aa6b_1,important country issues: crime,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
36,aa6b_2,important country issues: freedom of speech,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
37,aa6b_3,important country issues: economic situation,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
38,aa6b_4,important country issues: rising prices/ inflation,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
39,aa6b_5,important country issues: taxation,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
40,aa6b_6,important country issues: unemployment,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
41,aa6b_7,important country issues: terrorism,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
42,aa6b_8,important country issues: corruption,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
43,aa6b_9,important country issues: defence/ foreign affairs,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
44,aa6b_10,"important country issues: rule of law, transparency",object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
45,aa6b_11,important country issues: housing,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
46,aa6b_12,important country issues: migration,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
47,aa6b_13,important country issues: refugees/ internal displaced,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
48,aa6b_14,important country issues: healthcare system,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
49,aa6b_15,important country issues: educational system,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
50,aa6b_16,important country issues: pensions,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
51,aa6b_17,important country issues: environment,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
52,aa6b_18,important country issues: energy,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
53,aa6b_19,important country issues: mountainous garabagh,int64,1015,0,1,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""99"": ""Inap. (not AM AZ in isocntry)""}",,,99.0,99.0
54,aa6b_20,important country issues: transnistrian conflict,int64,1015,0,1,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""99"": ""Inap. (not MD in isocntry)""}",,,99.0,99.0
55,aa6b_21,important country issues: other,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
56,aa6b_22,important country issues: none,object,1015,0,3,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
57,aa6b_23,important country issues: dont know,object,1015,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned"", ""i"": ""Inap. (coded 22 or 23 in AA6A)""}",,,,
58,aa6t_1,important country issues: crime (total),int64,1015,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
59,aa6t_2,important country issues: freedom of speech (total),int64,1015,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
60,aa6t_3,important country issues: economic situation (total),int64,1015,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
61,aa6t_4,important country issues: rising prices/ inflation (total),int64,1015,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
62,aa6t_5,important country issues: taxation (total),int64,1015,0,2,"{""0"": ""Not mentioned"", ""1"": ""Mentioned""}",,,0.0,1.0
