studyno,version,doi,country,c_sample,c_alphan,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,TN_v34,v35,TN_v36,v37,TN_v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,SEX,BIRTH,AGE,EDUCYRS,TN_DEGR,DEGREE,WORK,WRKHRS,EMPREL,WRKSUP,NSUP,TYPORG1,TYPORG2,ISCO08,MAINSTAT,PARTLIV,SPWORK,SPWRKHRS,SPEMPREL,SPWRKSUP,SPISCO08,SPMAINST,UNION,TN_RELIG,RELIGGRP,ATTEND,ATTD_EXT,TOPBOT,VOTE_LE,TN_PRTY,PARTY_LR,TN_ETHN1,TN_ETHN2,HOMPOP,HHADULT,HHCHILDR,HHTODD,TN_RINC,TN_INC,MARITAL,F_BORN,M_BORN,URBRURAL,TN_REG,CASEID,SUBSCASE,DATEYR,DATEMO,DATEDY,WEIGHT,MODE,PARTIALS
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,2.0,2.0,1.0,1.0,1.0,4.0,5.0,5.0,2.0,8.0,5.0,8.0,8.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,8.0,4.0,3.0,1.0,3.0,8.0,4.0,2.0,1.0,99.0,1.0,99.0,1.0,99.0,98.0,98.0,98.0,11.0,1.0,1.0,2.0,1.0,4.0,2.0,8.0,2.0,4.0,3.0,3.0,8.0,8.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1975.0,43.0,2.0,3.0,2.0,1.0,25.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,990.0,99.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,100.0,999999.0,4.0,788.0,788.0,2.0,3.0,2018007880000011.0,9.0,2018.0,99.0,99.0,,99.0,1.0
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,2.0,5.0,2.0,1.0,99.0,1.0,99.0,1.0,99.0,98.0,98.0,1.0,11.0,8.0,1.0,2.0,5.0,8.0,2.0,2.0,2.0,5.0,8.0,8.0,8.0,8.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1989.0,29.0,17.0,5.0,5.0,1.0,25.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,990.0,99.0,0.0,0.0,3.0,1.0,9.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,120.0,300.0,6.0,788.0,788.0,2.0,3.0,2018007880000012.0,9.0,2018.0,99.0,99.0,,99.0,1.0
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,2.0,1.0,1.0,1.0,1.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,3.0,4.0,2.0,1.0,99.0,1.0,99.0,1.0,99.0,1.0,1.0,1.0,11.0,1.0,1.0,2.0,1.0,4.0,2.0,8.0,2.0,4.0,3.0,3.0,4.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1962.0,56.0,3.0,3.0,2.0,1.0,8.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,2.0,0.0,9.0,9.0,0.0,1.0,3.0,990.0,99.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,150.0,150.0,1.0,788.0,788.0,2.0,3.0,2018007880000013.0,9.0,2018.0,99.0,99.0,,99.0,1.0
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,3.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,2.0,5.0,4.0,2.0,8.0,8.0,1.0,2.0,4.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,3.0,3.0,5.0,2.0,1.0,99.0,1.0,99.0,1.0,99.0,98.0,98.0,98.0,11.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,5.0,2.0,8.0,4.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1956.0,62.0,0.0,1.0,0.0,1.0,20.0,9.0,2.0,0.0,0.0,8.0,0.0,1.0,2.0,9.0,99.0,9.0,2.0,0.0,9.0,3.0,990.0,99.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,250.0,250.0,5.0,788.0,788.0,2.0,3.0,2018007880000014.0,9.0,2018.0,99.0,99.0,,99.0,1.0
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,2.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,5.0,3.0,1.0,4.0,5.0,1.0,8.0,4.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,3.0,3.0,5.0,2.0,1.0,99.0,1.0,99.0,1.0,99.0,1.0,8.0,1.0,11.0,8.0,1.0,2.0,5.0,4.0,2.0,2.0,1.0,4.0,3.0,8.0,4.0,4.0,4.0,1.0,8.0,8.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1958.0,60.0,6.0,3.0,2.0,1.0,30.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,990.0,99.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,350.0,350.0,1.0,788.0,788.0,2.0,3.0,2018007880000015.0,9.0,2018.0,99.0,99.0,,99.0,1.0
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,3.0,2.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,8.0,2.0,8.0,8.0,5.0,2.0,1.0,99.0,1.0,99.0,1.0,99.0,1.0,1.0,1.0,11.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,8.0,8.0,8.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1964.0,54.0,1.0,3.0,2.0,1.0,25.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,9.0,99.0,9.0,2.0,0.0,5.0,3.0,990.0,99.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,100.0,100.0,1.0,788.0,788.0,4.0,4.0,2018007880000016.0,9.0,2018.0,99.0,99.0,,99.0,1.0
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,2.0,3.0,1.0,1.0,1.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,8.0,2.0,8.0,8.0,5.0,2.0,1.0,99.0,1.0,99.0,1.0,99.0,1.0,1.0,1.0,11.0,1.0,1.0,2.0,1.0,4.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,2.0,8.0,8.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1958.0,60.0,0.0,1.0,0.0,1.0,20.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,990.0,99.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,120.0,120.0,5.0,788.0,788.0,4.0,4.0,2018007880000017.0,9.0,2018.0,99.0,99.0,,99.0,1.0
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,3.0,4.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,2.0,5.0,2.0,1.0,99.0,1.0,99.0,1.0,99.0,1.0,1.0,1.0,11.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,8.0,8.0,8.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1989.0,29.0,6.0,3.0,2.0,1.0,30.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,1.0,35.0,2.0,0.0,0.0,1.0,3.0,990.0,99.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,300.0,300.0,1.0,788.0,788.0,4.0,4.0,2018007880000018.0,9.0,2018.0,99.0,99.0,,99.0,1.0
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,2.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,1.0,4.0,5.0,3.0,1.0,99.0,1.0,99.0,1.0,99.0,1.0,1.0,1.0,11.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,5.0,8.0,8.0,8.0,5.0,1.0,3.0,3.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1975.0,43.0,0.0,1.0,0.0,1.0,35.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,1.0,35.0,2.0,0.0,0.0,1.0,3.0,990.0,99.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,400.0,400.0,1.0,788.0,788.0,4.0,4.0,2018007880000019.0,9.0,2018.0,99.0,99.0,,99.0,1.0
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,8.0,4.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,99.0,1.0,99.0,1.0,99.0,1.0,1.0,1.0,11.0,8.0,1.0,2.0,5.0,3.0,2.0,3.0,2.0,5.0,4.0,8.0,5.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1957.0,61.0,6.0,3.0,2.0,1.0,35.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,9.0,99.0,9.0,2.0,0.0,99.0,3.0,990.0,99.0,0.0,0.0,3.0,1.0,10.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,400.0,400.0,1.0,788.0,788.0,4.0,4.0,2018007880000020.0,9.0,2018.0,99.0,99.0,,99.0,1.0
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,2.0,1.0,1.0,4.0,8.0,5.0,3.0,3.0,3.0,3.0,1.0,8.0,8.0,8.0,3.0,4.0,3.0,8.0,8.0,6.0,8.0,1.0,1.0,1.0,1.0,8.0,8.0,1.0,1.0,8.0,8.0,8.0,8.0,1.0,99.0,1.0,99.0,1.0,99.0,98.0,98.0,1.0,11.0,1.0,1.0,2.0,1.0,4.0,8.0,3.0,3.0,5.0,3.0,8.0,8.0,8.0,3.0,3.0,3.0,8.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1980.0,38.0,6.0,3.0,2.0,1.0,40.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,990.0,99.0,0.0,0.0,3.0,1.0,97.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,9.0,999999.0,6.0,788.0,788.0,4.0,5.0,2018007880000021.0,9.0,2018.0,99.0,99.0,,99.0,1.0
7629.0,1.0.0 (2020-10-09),doi:10.4232/1.13516,788.0,788.0,TN,3.0,1.0,1.0,8.0,8.0,3.0,4.0,3.0,8.0,8.0,3.0,3.0,3.0,3.0,3.0,8.0,8.0,8.0,8.0,6.0,4.0,1.0,1.0,1.0,1.0,8.0,5.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,99.0,1.0,99.0,1.0,99.0,1.0,98.0,98.0,11.0,1.0,1.0,2.0,1.0,8.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9999.0,999.0,99.0,5.0,5.0,2.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,99.0,1.0,2.0,0.0,1.0,2.0,0.0,99.0,9.0,990.0,99.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,99.0,99.0,99.0,99.0,1100.0,2300.0,1.0,788.0,788.0,4.0,5.0,2018007880000022.0,9.0,2018.0,99.0,99.0,,99.0,1.0
