position,variable,label,storage_type,n_valid,n_missing,n_distinct,value_labels,observed_values,sentinel_codes,min,max
1,COUNTRY,Surveyed country,float64,1002,0,1,"{""1"": ""Algeria"", ""8"": ""Jordan"", ""10"": ""Lebanon"", ""11"": ""Libya"", ""13"": ""Morocco"", ""21"": ""Tunisia""}",,,21.0,21.0
2,ID,Respondent ID number,float64,1002,0,1002,,,,9.0,4988.0
3,DATE,Date of interview,object,1002,0,10,,"[""2020-10-06"", ""2020-10-07"", ""2020-10-08"", ""2020-10-09"", ""2020-10-10"", ""2020-10-11"", ""2020-10-12"", ""2020-10-13"", ""2020-10-14"", ""2020-10-15""]",,,
4,Q1,Governorate,float64,1002,0,25,"{""1001"": ""Adrar"", ""1002"": ""Chlef"", ""1003"": ""Laghouat"", ""1004"": ""Oum el Bouaghi"", ""1005"": ""Batna"", ""1006"": ""Bejaia"", ""1007"": ""Biskra"", ""1008"": ""Bechar"", ""1009"": ""Blida"", ""1010"": ""Bouira"", ""1011"": ""Tamenrasset"", ""1012"": ""Tebessa"", ""1013"": ""Tlemcen"", ""1014"": ""Tiaret"", ""1015"": ""Tizi Ouzou"", ""1016"": ""Algiers"", ""1017"": ""Djelfa"", ""1018"": ""Jijel"", ""1019"": ""Setif"", ""1020"": ""Saida"", ""1021"": ""Skikda"", ""1022"": ""Sidi Bel Abbes"", ""1023"": ""Annaba"", ""1024"": ""Guelma"", ""1025"": ""Constantine"", ""1026"": ""Medea"", ""1027"": ""Mostaganem"", ""1028"": ""M'Sila"", ""1029"": ""Mascara"", ""1030"": ""Ouargla"", ""1031"": ""Oran"", ""1032"": ""El Bayadh"", ""1033"": ""Illizi"", ""1034"": ""Bordj Bou Arreridj"", ""1035"": ""Boumerdes"", ""1036"": ""El Taref"", ""1037"": ""Tindouf"", ""1038"": ""Tissemsilt"", ""1039"": ""El Oued"", ""1040"": ""Khenchela"", ""1041"": ""Souk Ahras"", ""1042"": ""Tipaza"", ""1043"": ""Mila"", ""1044"": ""Ain Defla"", ""1045"": ""Naama"", ""1046"": ""Ain Temouchent"", ""1047"": ""Ghardaia"", ""1048"": ""Relizane"", ""7001"": ""Baghdad"", ""7002"": ""Salahaddin"", ""7003"": ""Diyala"", ""7004"": ""Wasit"", ""7005"": ""Missan"", ""7006"": ""Basra"", ""7007"": ""Thi-Qar"", ""7008"": ""Muthanna"", ""7009"": ""Diwaniyah"", ""7010"": ""Babel"", ""7011"": ""Karbala"", ""7012"": ""Najaf"", ""7013"": ""Anbar"", ""7014"": ""Ninewa"", ""7015"": ""Dohuk"", ""7016"": ""Erbil"", ""7017"": ""Kirkuk"", ""7018"": ""Sulaymaniyah"", ""8001"": ""Amman"", ""8002"": ""Balqa"", ""8003"": ""Zarqa"", ""8004"": ""Madaba"", ""8005"": ""Irbid"", ""8006"": ""Mafraq"", ""8007"": ""Jerash"", ""8008"": ""Ajloun"", ""8009"": ""Karak"", ""8010"": ""Tafilah"", ""8011"": ""Ma'an"", ""8012"": ""Aqaba"", ""10001"": ""Akkar"", ""10002"": ""Baalbek El-Hermel"", ""10003"": ""Beirut"", ""10004"": ""Bekaa"", ""10005"": ""El Nabatieh"", ""10006"": ""Kesrwan-Jbeil"", ""10007"": ""Mt. Lebanon"", ""10008"": ""North"", ""10009"": ""South"", ""11001"": ""Tobruk"", ""11002"": ""Derna"", ""11003"": ""Al-Gabal al-Akhdar"", ""11004"": ""Al-Marj"", ""11005"": ""Benghazi"", ""11006"": ""Al-Wahat"", ""11007"": ""Al-Kufra"", ""11008"": ""Sirt"", ""11009"": ""Al-Jofra"", ""11010"": ""Misrata"", ""11011"": ""Al-Mergheb"", ""11012"": ""Tripoli"", ""11013"": ""Jafara"", ""11014"": ""Zawia"", ""11015"": ""Zwara"", ""11016"": ""Al-Gabal al-Gharbi"", ""11017"": ""Nalut"", ""11018"": ""Sabha"", ""11019"": ""Wadi Shati"", ""11020"": ""Murzuk"", ""11021"": ""Wadi al-Haya"", ""11022"": ""Ghat"", ""11023"": ""Ejdabia"", ""13001"": ""Tanger-Tetouan-Al Hoceima"", ""13002"": ""Oriental"", ""13003"": ""Fes-Meknes"", ""13004"": ""Rabat-Sale-Kenitra"", ""13005"": ""Beni Mellal-Khenifra"", ""13006"": ""Grand Casablanca-Settat"", ""13007"": ""Marrakech-Safi"", ""13008"": ""Draa-Tafilalet"", ""13009"": ""Souss-Massa"", ""13010"": ""Guelmim-Oued Noun"", ""13011"": ""Laayoune-Sakia El Hamra"", ""13012"": ""Eddakhla-Oued Eddahab"", ""21001"": ""Tunis"", ""21002"": ""Ariana"", ""21003"": ""Ben Arous"", ""21004"": ""Manouba"", ""21005"": ""Bizerte"", ""21006"": ""Nabeul"", ""21007"": ""Beja"", ""21008"": ""Zaghouan"", ""21009"": ""Jendouba"", ""21010"": ""Jendouba"", ""21011"": ""Siliana"", ""21012"": ""Sousse"", ""21013"": ""Monastir"", ""21014"": ""Mahdia"", ""21015"": ""Kairouan"", ""21016"": ""Sfax"", ""21017"": ""Sidi Bouzid"", ""21018"": ""Kasserine"", ""21019"": ""Gafsa"", ""21020"": ""Tozeur"", ""21021"": ""Tataouine"", ""21022"": ""Medenine"", ""21023"": ""Gabes"", ""21024"": ""Kebili"", ""99998"": ""Don't know"", ""99999"": ""Refused""}",,,21001.0,99999.0
5,Q13A,Self-reported region type,float64,1002,0,6,"{""1"": ""Big city"", ""2"": ""Village or town"", ""3"": ""Rural area"", ""4"": ""Refugee camp"", ""5"": ""IDP camp"", ""97"": ""Difficult to say"", ""98"": ""Don't know'"", ""99"": ""Refused to answer""}",,,1.0,99.0
6,WT,Weight for the probability of selection,float64,1002,0,455,,,,0.32874103764530166,1.9052433542323794
7,Q1001,Q1001. How old are you?,float64,1002,0,63,"{""9999"": ""Refused""}",,,18.0,9999.0
8,Q1002,Q1002. What is your gender?,float64,1002,0,2,"{""1"": ""Male"", ""2"": ""Female""}",,,1.0,2.0
9,Q2061A,Q2061a. What is the most important challenge facing [COUNTRY] today?,float64,1002,0,9,"{""1"": ""Economic situation [INTERVIEWER: IF ASKED, POVERTY, UNEMPLOYMENT, INFLATION]"", ""2"": ""Financial and administrative corruption"", ""6"": ""Internal instability and security"", ""7"": ""Foreign interference"", ""12"": ""Public services [INTERVIEWER: IF ASKED, HEALTH, EDUCATION, ETC.]"", ""15"": ""The spread of the coronavirus"", ""16"": ""Other"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,1.0,99.0
10,Q1COVID19,"Q1COVID19.In general, to what extent are you concerned that the coronavirus will",float64,1002,0,4,"{""1"": ""Very concerned"", ""2"": ""Somewhat concerned"", ""3"": ""Somewhat not concerned"", ""4"": ""Not at all concerned"", ""98"": ""Don’t know"", ""99"": ""Refused to answer""}",,,1.0,4.0
