RESPNO,URBRUR,REGION,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,NOCALL_6,NOCALL_7,PREVINT,THISINT,ADULT_CT,CALLS,DATEINTR,STRTIME,Q1,Q2,Q3A,Q3B,Q4,Q5A,Q5B,Q6A,Q6B,Q7,Q8A,Q8B,Q8C,Q8D,Q8E,Q9A,Q9B,Q10A,Q10B,Q10C,Q11,Q11OTHER,Q12,Q12OTHER,Q13A,Q13B,Q13C,Q13D,Q14,Q15,Q16,Q17A,Q17B,Q17C,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25A,Q25B,Q26A,Q26B,Q26C,Q26D,Q26E,Q27,Q28,Q29A,Q29B,Q29C,Q30A,Q30B,Q30C,Q30D,Q31A,Q31B,Q31C,Q31D_ARB,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q41A_ARB,Q41B_ARB,Q41C_ARB,Q41D_ARB,Q42,Q43,Q43A_ARB,Q43B_ARB,Q43C_ARB,Q43D_ARB,Q43E_ARB,Q44,Q45,Q46A,Q46B,Q46C,Q46D,Q47A,Q47B,Q47C,Q47E,Q47F_ARB,Q47G_ARB,Q47H_ARB,Q47I_ARB,Q48A,Q48B,Q48C,Q49,Q52A,Q52B,Q52C,Q52D,Q52E,Q53,Q54,Q55,Q56A,Q56B,Q56C,Q56D,Q56E,Q56F,Q56G,Q56H,Q56I,Q57,Q58,Q59A,Q59A_TUN,Q59B,Q59D,Q59E,Q59F,Q59G,Q59H,Q59I,Q59J,Q59K,Q59L,Q60A,Q60A1_TUN,Q60B,Q60C,Q60D,Q60E,Q60F,Q60G,Q61A,Q61B,Q61C,Q61D,Q61E,Q61F,Q62A,Q62B,Q63PT1,Q63PT1OTHER,Q63PT2,Q63PT2OTHER,Q63PT3,Q63PT3OTHER,Q64,Q65A,Q65B,Q65C,Q65D,Q65E,Q65F,Q65G,Q65H,Q65I,Q65J,Q65K,Q65L,Q65M,Q65N,Q65O,Q65P,Q66A,Q66B,Q66C,Q66D,Q66E,Q67A,Q67B,Q67C,Q67D,Q67E,Q68A,Q68B,Q68C,Q68D,Q68E,Q68F,Q69A,Q69B,Q69C,Q69D,Q69E,Q69F,Q70A,Q70C,Q71A,Q71A1_TUN,Q71B,Q71C,Q72A,Q72B,Q72C,Q72D_TUN,Q73A_ARB,Q73B_ARB,Q73C_ARB,Q73D_ARB,Q78,Q85C,Q87,Q88A,Q88B,Q88C,Q89A,Q89B,Q89BOTHER,Q90A,Q90B,Q90C,Q91A,Q91B,Q92,Q93A,Q93B,Q93C_ARB,Q94,Q94A_ARB,Q94B_ARB,Q94C_ARB,Q95A,Q95B,Q96,Q96_ARB,Q96_ARB_OTHER,Q97,Q98A,Q98B,Q98C_ARB,Q98D_ARB,Q99,Q99OTHER,Q100,TEL,ENDTIME,LENGTH,Q101,Q102,Q103,Q104,Q105,Q106,Q107A,Q107B,Q107C,Q107D,Q107E,Q108,Q110A,Q110B,Q110C,Q110D,Q110E,Q110F,Q112,Q113,Q114,Q115,Q116,Q117,withinwt
TUN0329,1.0,1584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,997.0,997.0,997.0,2.0,1.0,3.0,2.0,2013-01-19,15:00:00,20.0,5.0,1.0,4.0,3.0,2.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,,8.0,,3.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,2.0,2.0,1.0,9.0,9.0,4.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,10.0,8.0,8.0,4.0,7.0,5.0,8.0,4.0,8.0,5.0,3.0,3.0,1.0,2.0,3.0,2.0,9.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,6.0,,27.0,,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,9.0,9.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,9.0,3.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,9.0,9.0,9.0,9.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,5.0,0.0,3.0,2.0,2.0,1.0,1581.0,,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,10.0,,4.0,18.0,4.0,1.0,3.0,1581.0,,19.0,20446427.0,15:40:00,40.0,1.0,4.0,5.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,TUN11,25.0,1.0,2.0,5.0,5.0,1.124741
TUN0330,1.0,1584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,1.0,2.0,5.0,1.0,2013-01-19,15:06:00,53.0,5.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,,1.0,,0.0,4.0,0.0,0.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,5.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,0.0,0.0,10.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,4.0,5.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,9.0,9.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,13.0,,3.0,,23.0,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,9.0,9.0,9.0,9.0,1.0,1.0,3.0,3.0,5.0,4.0,1.0,5.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,9997.0,,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,,2.0,18.0,4.0,0.0,3.0,9997.0,,999.0,97167673.0,15:46:00,40.0,2.0,4.0,5.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,TUN04,25.0,1.0,2.0,5.0,8.0,1.124741
TUN0331,1.0,1584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,997.0,997.0,997.0,997.0,997.0,997.0,2.0,1.0,2.0,1.0,2013-01-20,14:03:00,36.0,5.0,1.0,-1.0,3.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,7.0,7.0,,11.0,,0.0,0.0,2.0,0.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,1.0,3.0,2.0,2.0,9.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,0.0,0.0,9.0,99.0,99.0,99.0,7.0,2.0,9.0,4.0,8.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,9.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,1580.0,High living expenses,2.0,,20.0,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,9.0,2.0,2.0,2.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-1.0,-1.0,1.0,1.0,1.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,1.0,5.0,0.0,3.0,3.0,2.0,0.0,9997.0,,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,10.0,,4.0,18.0,4.0,0.0,1.0,9999.0,,19.0,-1.0,14:40:00,37.0,1.0,4.0,5.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,TUN11,25.0,1.0,2.0,5.0,5.0,1.102928
TUN0332,1.0,1584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,1.0,2.0,4.0,1.0,2013-01-20,14:00:00,55.0,5.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,1.0,,0.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,9.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,29.0,,2.0,,23.0,,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,9997.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,24.0,,3.0,18.0,4.0,1.0,3.0,9999.0,,999.0,72239977.0,14:38:00,38.0,2.0,4.0,5.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,TUN04,25.0,1.0,2.0,5.0,8.0,1.102928
TUN0333,1.0,1584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,997.0,997.0,997.0,997.0,997.0,2.0,1.0,3.0,1.0,2013-01-19,23:00:00,19.0,5.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,7.0,0.0,,1.0,,4.0,4.0,0.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,0.0,0.0,10.0,5.0,3.0,6.0,6.0,0.0,4.0,0.0,99.0,5.0,5.0,5.0,1.0,2.0,9.0,9.0,9.0,9.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,25.0,,26.0,,9996.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,2.0,2.0,1.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,0.0,2.0,2.0,2.0,1.0,1580.0,,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0,,4.0,18.0,4.0,1.0,3.0,1586.0,,999.0,94022500.0,23:00:00,-1.0,1.0,4.0,5.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,TUN07,23.0,2.0,2.0,5.0,8.0,1.102928
TUN0334,1.0,1584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,2.0,2.0,2.0,1.0,2013-01-20,14:00:00,29.0,5.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,1.0,0.0,,1.0,,4.0,4.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,5.0,1.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,0.0,0.0,7.0,99.0,99.0,99.0,99.0,99.0,0.0,2.0,10.0,5.0,5.0,4.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,9.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580.0,High living expenses,4.0,,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,9.0,2.0,1.0,2.0,2.0,2.0,9.0,2.0,2.0,2.0,3.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,5.0,5.0,4.0,9.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,1581.0,,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,24.0,,4.0,18.0,3.0,0.0,3.0,1581.0,,998.0,22767927.0,14:40:00,40.0,2.0,4.0,5.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,TUN02,22.0,2.0,2.0,5.0,7.0,1.102928
TUN0335,1.0,1584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,2.0,1.0,3.0,1.0,2013-01-20,14:40:00,40.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,1.0,,3.0,4.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,9.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,2.0,3.0,2.0,0.0,0.0,10.0,6.0,6.0,6.0,6.0,8.0,8.0,5.0,0.0,5.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,9.0,9.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,8.0,,3.0,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,1.0,5.0,0.0,2.0,0.0,2.0,0.0,9997.0,,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,,3.0,18.0,4.0,2.0,3.0,9997.0,,999.0,22287859.0,15:17:00,37.0,1.0,4.0,5.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TUN04,25.0,1.0,2.0,5.0,8.0,1.102928
TUN0336,1.0,1584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,1.0,2.0,5.0,1.0,2013-01-20,14:47:00,24.0,5.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,3.0,,1.0,,2.0,3.0,0.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,4.0,5.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,4.0,3.0,1.0,8.0,9.0,9.0,3.0,8.0,1.0,9.0,0.0,8.0,5.0,5.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,2.0,4.0,2.0,0.0,2.0,0.0,9.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,9.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,4.0,,3.0,,13.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,9.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,9.0,2.0,2.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0,4.0,3.0,9.0,3.0,3.0,3.0,1.0,4.0,4.0,5.0,5.0,1.0,5.0,0.0,3.0,0.0,3.0,0.0,9997.0,,1.0,1.0,0.0,4.0,4.0,1.0,3.0,2.0,1.0,7.0,1.0,1.0,1.0,3.0,1.0,0.0,23.0,,7.0,18.0,4.0,0.0,3.0,9999.0,,19.0,72229277.0,15:25:00,38.0,2.0,4.0,5.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,TUN11,25.0,1.0,2.0,5.0,5.0,1.102928
TUN0337,1.0,1584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,997.0,997.0,997.0,997.0,997.0,997.0,2.0,1.0,2.0,1.0,2013-01-20,14:50:00,33.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,7.0,0.0,,1.0,,4.0,4.0,0.0,0.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,2.0,1.0,10.0,7.0,10.0,0.0,2.0,5.0,5.0,5.0,0.0,5.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,0.0,9.0,0.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23.0,,3.0,,4.0,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,3.0,9.0,4.0,1.0,9.0,1.0,1.0,9.0,2.0,1.0,1.0,3.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,5.0,5.0,4.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1587.0,,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,,2.0,18.0,4.0,0.0,2.0,1587.0,,999.0,28355521.0,15:35:00,45.0,1.0,4.0,5.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TUN02,22.0,2.0,2.0,5.0,7.0,1.102928
TUN0338,1.0,1584.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,997.0,997.0,997.0,997.0,997.0,1.0,2.0,3.0,1.0,2013-01-20,14:44:00,71.0,5.0,1.0,4.0,-1.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,7.0,7.0,,1.0,,4.0,4.0,0.0,0.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,10.0,99.0,99.0,6.0,6.0,0.0,0.0,0.0,99.0,5.0,5.0,5.0,1.0,2.0,9.0,9.0,9.0,9.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,1.0,,9995.0,People / Public awareness,1580.0,High living expenses,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,0.0,2.0,2.0,2.0,1.0,1581.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,18.0,4.0,1.0,3.0,1581.0,,999.0,93320740.0,15:25:00,41.0,2.0,4.0,5.0,1.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TUN07,23.0,2.0,2.0,5.0,8.0,1.102928
